consumo_kwh,uso_horario_pico,cantidad_equipos,tipo_inmueble,horas_alto_consumo,categoria,region
563,True,11,Casa,5,Ineficiente,Sur
441,False,11,Departamento,12,Ineficiente,Centro
567,True,14,Casa,4,Ineficiente,Sur
676,True,20,Casa,8,Ineficiente,Centro
590,False,15,Casa,6,Moderado,Norte
374,False,12,Departamento,6,Ineficiente,Centro
617,True,19,Casa,3,Moderado,Centro
746,True,20,Casa,7,Ineficiente,Sur
689,True,21,Casa,7,Ineficiente,Centro
225,False,5,Departamento,5,Moderado,Centro
483,False,14,Casa,6,Moderado,Centro
421,True,8,Departamento,8,Ineficiente,Norte
448,True,10,Departamento,9,Ineficiente,Centro
701,True,23,Casa,7,Ineficiente,Centro
342,True,7,Departamento,6,Ineficiente,Centro
714,True,23,Casa,4,Ineficiente,Centro
463,False,14,Departamento,8,Moderado,Norte
522,True,13,Departamento,9,Ineficiente,Centro
715,True,24,Casa,4,Moderado,Centro
642,True,16,Casa,6,Ineficiente,Norte
434,True,5,Departamento,12,Ineficiente,Sur
488,True,14,Casa,3,Ineficiente,Centro
784,True,19,Casa,11,Ineficiente,Norte
767,True,23,Casa,11,Ineficiente,Centro
686,False,24,Casa,5,Moderado,Centro
354,False,10,Departamento,5,Moderado,Centro
533,True,8,Casa,9,Ineficiente,Centro
468,True,9,Casa,4,Ineficiente,Norte
615,True,15,Casa,6,Moderado,Norte
485,True,9,Departamento,12,Ineficiente,Centro
676,True,16,Casa,6,Ineficiente,Sur
365,True,6,Departamento,3,Ineficiente,Sur
738,True,20,Casa,10,Ineficiente,Norte
447,True,14,Departamento,5,Moderado,Centro
771,False,22,Casa,10,Moderado,Sur
694,False,22,Casa,10,Moderado,Centro
506,False,14,Casa,3,Eficiente,Sur
382,True,5,Departamento,10,Ineficiente,Norte
457,False,8,Departamento,10,Ineficiente,Sur
471,False,13,Casa,3,Moderado,Centro
536,False,11,Departamento,12,Ineficiente,Sur
395,True,9,Departamento,7,Ineficiente,Centro
714,False,23,Casa,10,Ineficiente,Centro
648,True,14,Casa,5,Ineficiente,Sur
592,True,17,Casa,3,Moderado,Centro
707,True,19,Casa,8,Ineficiente,Centro
337,False,8,Departamento,10,Ineficiente,Centro
389,False,10,Departamento,7,Moderado,Centro
591,True,12,Departamento,12,Ineficiente,Sur
648,True,14,Casa,12,Ineficiente,Centro
482,True,11,Casa,5,Ineficiente,Centro
365,True,11,Departamento,2,Ineficiente,Centro
422,True,9,Departamento,5,Ineficiente,Norte
342,True,8,Departamento,4,Ineficiente,Centro
445,False,13,Departamento,8,Ineficiente,Centro
404,True,5,Departamento,12,Ineficiente,Centro
846,True,23,Casa,12,Ineficiente,Sur
447,False,8,Casa,11,Ineficiente,Centro
243,False,4,Departamento,6,Moderado,Centro
379,False,10,Departamento,4,Eficiente,Sur
714,True,23,Casa,3,Ineficiente,Centro
593,False,18,Casa,3,Moderado,Sur
422,True,10,Departamento,6,Ineficiente,Centro
581,False,10,Casa,9,Moderado,Sur
618,False,15,Casa,9,Moderado,Norte
639,False,17,Casa,6,Moderado,Sur
395,True,13,Departamento,3,Moderado,Centro
407,True,12,Departamento,5,Ineficiente,Centro
573,False,16,Casa,8,Moderado,Centro
400,False,10,Departamento,7,Ineficiente,Centro
699,True,18,Casa,11,Ineficiente,Centro
676,False,23,Casa,8,Moderado,Centro
331,True,6,Departamento,6,Ineficiente,Centro
327,True,7,Departamento,3,Moderado,Centro
373,False,7,Departamento,9,Ineficiente,Norte
451,True,13,Departamento,3,Ineficiente,Centro
768,True,22,Casa,9,Ineficiente,Centro
579,False,15,Casa,8,Moderado,Norte
531,True,14,Casa,4,Moderado,Centro
472,True,9,Casa,5,Ineficiente,Centro
654,False,20,Casa,8,Moderado,Norte
312,False,8,Departamento,5,Moderado,Centro
596,True,12,Casa,10,Ineficiente,Sur
432,True,7,Departamento,8,Ineficiente,Norte
407,True,12,Departamento,2,Ineficiente,Centro
334,False,11,Departamento,2,Eficiente,Centro
468,True,10,Casa,5,Ineficiente,Centro
540,False,12,Casa,10,Ineficiente,Centro
607,False,20,Casa,5,Moderado,Centro
561,True,15,Casa,6,Ineficiente,Centro
326,True,7,Departamento,2,Moderado,Norte
541,False,16,Casa,3,Moderado,Centro
822,True,24,Casa,12,Ineficiente,Centro
353,True,4,Departamento,5,Ineficiente,Norte
423,False,8,Casa,5,Moderado,Centro
554,False,13,Departamento,12,Ineficiente,Sur
326,True,5,Departamento,11,Ineficiente,Centro
311,True,5,Departamento,7,Ineficiente,Centro
713,False,22,Casa,7,Moderado,Sur
483,False,10,Casa,9,Moderado,Centro
409,True,9,Departamento,10,Ineficiente,Centro
619,True,20,Casa,2,Moderado,Centro
327,True,4,Departamento,2,Moderado,Sur
447,False,14,Departamento,7,Moderado,Centro
410,True,10,Departamento,5,Ineficiente,Centro
645,False,19,Casa,12,Ineficiente,Centro
627,False,17,Casa,5,Moderado,Sur
238,False,5,Departamento,2,Moderado,Centro
721,False,18,Casa,10,Ineficiente,Norte
563,False,11,Casa,12,Ineficiente,Sur
518,True,13,Casa,4,Moderado,Centro
426,True,8,Departamento,6,Ineficiente,Norte
353,False,7,Departamento,11,Ineficiente,Centro
462,True,12,Casa,2,Moderado,Centro
734,True,20,Casa,9,Ineficiente,Sur
349,True,10,Departamento,4,Ineficiente,Centro
366,True,10,Departamento,2,Moderado,Sur
477,False,8,Casa,11,Ineficiente,Centro
688,False,19,Casa,7,Ineficiente,Norte
287,True,5,Departamento,2,Moderado,Sur
280,False,7,Departamento,4,Moderado,Centro
310,True,4,Departamento,6,Ineficiente,Centro
303,False,8,Departamento,5,Moderado,Centro
738,True,21,Casa,8,Ineficiente,Sur
617,False,18,Casa,7,Moderado,Centro
447,True,12,Departamento,4,Ineficiente,Norte
523,True,11,Departamento,12,Ineficiente,Norte
356,False,9,Departamento,9,Ineficiente,Centro
453,True,11,Departamento,9,Ineficiente,Centro
500,False,14,Casa,3,Moderado,Centro
814,True,23,Casa,8,Ineficiente,Centro
409,True,11,Departamento,2,Ineficiente,Norte
398,True,10,Departamento,3,Ineficiente,Centro
447,True,7,Departamento,9,Ineficiente,Sur
310,True,8,Departamento,2,Moderado,Centro
433,False,13,Departamento,3,Moderado,Sur
418,True,10,Casa,2,Moderado,Centro
661,False,19,Casa,6,Eficiente,Norte
567,True,12,Casa,8,Ineficiente,Sur
550,False,16,Casa,7,Moderado,Centro
673,True,19,Casa,7,Ineficiente,Centro
724,True,17,Casa,7,Ineficiente,Sur
599,False,12,Casa,9,Ineficiente,Norte
567,True,12,Casa,6,Ineficiente,Norte
668,True,16,Casa,11,Ineficiente,Centro
797,True,24,Casa,8,Ineficiente,Centro
605,True,17,Casa,4,Moderado,Norte
459,True,8,Departamento,10,Ineficiente,Norte
810,True,23,Casa,11,Ineficiente,Norte
684,True,22,Casa,4,Moderado,Centro
744,False,24,Casa,7,Moderado,Norte
266,False,6,Departamento,4,Moderado,Centro
426,True,8,Casa,2,Moderado,Centro
263,True,4,Departamento,2,Ineficiente,Centro
512,False,12,Casa,4,Moderado,Norte
498,False,13,Casa,5,Moderado,Centro
700,False,21,Casa,3,Moderado,Norte
605,False,18,Casa,10,Ineficiente,Centro
535,True,8,Departamento,12,Ineficiente,Sur
344,False,8,Departamento,9,Ineficiente,Centro
396,False,13,Departamento,4,Moderado,Centro
674,True,19,Casa,8,Ineficiente,Centro
449,True,9,Casa,5,Moderado,Centro
505,True,12,Departamento,6,Ineficiente,Sur
544,False,11,Casa,5,Moderado,Sur
808,True,24,Casa,10,Ineficiente,Centro
609,True,13,Casa,12,Ineficiente,Centro
743,True,14,Casa,8,Ineficiente,Sur
456,True,9,Departamento,5,Ineficiente,Sur
474,True,11,Departamento,9,Ineficiente,Centro
271,False,8,Departamento,3,Eficiente,Centro
559,True,13,Casa,8,Ineficiente,Centro
559,False,9,Casa,12,Ineficiente,Sur
669,False,21,Casa,2,Eficiente,Norte
571,False,16,Casa,9,Moderado,Centro
599,False,19,Casa,7,Ineficiente,Centro
338,True,6,Departamento,6,Ineficiente,Centro
470,True,11,Departamento,10,Ineficiente,Centro
747,True,19,Casa,10,Ineficiente,Sur
304,False,8,Departamento,4,Moderado,Norte
444,True,8,Departamento,10,Ineficiente,Centro
827,True,23,Casa,10,Ineficiente,Norte
321,False,10,Departamento,3,Eficiente,Norte
509,False,15,Casa,6,Moderado,Centro
658,False,18,Casa,12,Ineficiente,Centro
416,False,9,Casa,3,Moderado,Centro
435,True,14,Departamento,2,Ineficiente,Centro
751,True,19,Casa,8,Ineficiente,Norte
411,True,8,Casa,5,Ineficiente,Centro
697,False,20,Casa,6,Ineficiente,Sur
832,True,24,Casa,5,Ineficiente,Sur
442,True,10,Departamento,7,Ineficiente,Centro
324,False,4,Departamento,12,Ineficiente,Centro
813,True,23,Casa,3,Ineficiente,Sur
795,False,24,Casa,9,Ineficiente,Norte
580,False,13,Casa,5,Moderado,Sur
621,False,14,Casa,9,Ineficiente,Sur
457,True,8,Casa,4,Moderado,Norte
803,True,22,Casa,12,Ineficiente,Norte
696,False,20,Casa,6,Moderado,Sur
322,False,10,Departamento,4,Moderado,Centro
398,True,9,Departamento,8,Ineficiente,Norte
609,True,19,Casa,4,Moderado,Centro
741,True,22,Casa,9,Ineficiente,Centro
490,False,14,Departamento,10,Ineficiente,Centro
514,True,13,Casa,3,Moderado,Centro
323,True,4,Departamento,4,Moderado,Sur
387,False,12,Departamento,8,Ineficiente,Centro
605,True,16,Casa,6,Ineficiente,Centro
562,False,11,Casa,11,Ineficiente,Centro
442,True,11,Departamento,8,Ineficiente,Centro
445,True,9,Casa,3,Moderado,Norte
747,True,23,Casa,5,Moderado,Sur
315,True,4,Departamento,2,Moderado,Sur
581,True,15,Casa,6,Ineficiente,Centro
729,True,21,Casa,9,Ineficiente,Centro
261,True,6,Departamento,2,Ineficiente,Centro
722,False,23,Casa,8,Moderado,Centro
531,True,11,Casa,8,Ineficiente,Centro
263,False,4,Departamento,8,Ineficiente,Centro
685,True,21,Casa,2,Moderado,Sur
474,True,9,Departamento,12,Ineficiente,Centro
331,True,8,Departamento,4,Moderado,Centro
620,True,12,Casa,12,Ineficiente,Centro
525,True,13,Casa,3,Moderado,Norte
630,True,15,Casa,6,Ineficiente,Centro
546,True,13,Casa,3,Ineficiente,Centro
458,False,13,Casa,6,Moderado,Centro
358,True,9,Departamento,6,Ineficiente,Centro
568,True,14,Casa,5,Ineficiente,Centro
608,True,14,Casa,12,Ineficiente,Centro
354,False,9,Departamento,8,Moderado,Centro
657,True,15,Casa,11,Ineficiente,Centro
365,False,7,Departamento,7,Moderado,Sur
438,True,8,Casa,3,Moderado,Centro
620,False,21,Casa,5,Moderado,Centro
340,True,6,Departamento,12,Ineficiente,Centro
472,False,14,Departamento,8,Ineficiente,Centro
437,True,6,Departamento,10,Ineficiente,Norte
489,True,9,Departamento,10,Ineficiente,Centro
353,True,12,Departamento,4,Moderado,Centro
701,True,23,Casa,2,Moderado,Centro
474,False,8,Casa,10,Moderado,Sur
368,True,4,Departamento,9,Ineficiente,Centro
385,True,4,Departamento,8,Ineficiente,Sur
353,True,6,Departamento,7,Ineficiente,Norte
738,True,19,Casa,11,Ineficiente,Centro
567,True,10,Casa,8,Ineficiente,Sur
404,True,6,Departamento,12,Ineficiente,Centro
766,True,22,Casa,10,Ineficiente,Centro
398,True,7,Departamento,7,Ineficiente,Centro
560,True,11,Departamento,11,Ineficiente,Norte
440,True,9,Casa,4,Moderado,Centro
417,True,11,Departamento,4,Ineficiente,Centro
525,True,14,Departamento,5,Moderado,Sur
503,True,9,Casa,11,Ineficiente,Centro
526,False,14,Departamento,11,Ineficiente,Sur
606,False,10,Casa,9,Ineficiente,Sur
420,False,10,Departamento,11,Ineficiente,Centro
803,True,23,Casa,10,Ineficiente,Centro
478,False,12,Departamento,9,Moderado,Sur
759,True,18,Casa,12,Ineficiente,Sur
773,True,22,Casa,11,Ineficiente,Centro
264,True,5,Departamento,3,Moderado,Centro
636,False,23,Casa,5,Moderado,Centro
576,False,19,Casa,5,Moderado,Centro
360,True,9,Departamento,3,Moderado,Centro
369,True,7,Departamento,9,Ineficiente,Centro
576,False,16,Casa,4,Moderado,Norte
253,False,4,Departamento,3,Eficiente,Norte
645,False,19,Casa,8,Moderado,Centro
459,True,9,Casa,2,Ineficiente,Centro
607,True,17,Casa,7,Ineficiente,Centro
459,True,14,Departamento,4,Ineficiente,Centro
310,False,8,Departamento,4,Moderado,Centro
452,False,12,Departamento,6,Moderado,Norte
301,True,8,Departamento,4,Moderado,Centro
713,True,19,Casa,5,Ineficiente,Sur
722,False,24,Casa,4,Moderado,Centro
455,False,9,Casa,8,Moderado,Centro
584,False,18,Casa,4,Moderado,Centro
780,True,18,Casa,11,Ineficiente,Sur
314,False,10,Departamento,5,Moderado,Centro
677,False,22,Casa,3,Moderado,Centro
581,True,16,Casa,3,Ineficiente,Centro
728,False,22,Casa,10,Ineficiente,Centro
485,True,11,Departamento,12,Ineficiente,Norte
215,False,4,Departamento,2,Moderado,Centro
636,False,20,Casa,2,Eficiente,Norte
561,True,8,Casa,11,Ineficiente,Centro
233,True,4,Departamento,2,Moderado,Centro
466,True,11,Casa,4,Ineficiente,Centro
430,False,14,Departamento,3,Eficiente,Sur
283,False,6,Departamento,4,Eficiente,Norte
511,True,9,Casa,6,Ineficiente,Sur
748,False,22,Casa,10,Moderado,Centro
466,True,14,Departamento,3,Ineficiente,Centro
658,True,13,Casa,12,Ineficiente,Norte
499,True,10,Casa,2,Ineficiente,Sur
472,False,13,Departamento,12,Ineficiente,Norte
394,True,6,Departamento,7,Ineficiente,Norte
351,False,9,Departamento,4,Ineficiente,Centro
333,True,6,Departamento,8,Ineficiente,Centro
587,False,17,Casa,7,Moderado,Centro
727,True,16,Casa,12,Ineficiente,Norte
419,False,10,Departamento,8,Ineficiente,Centro
645,True,18,Casa,6,Ineficiente,Centro
480,False,14,Casa,2,Eficiente,Centro
332,False,10,Departamento,4,Moderado,Centro
428,False,12,Casa,4,Moderado,Centro
457,False,11,Casa,8,Moderado,Centro
425,False,11,Casa,4,Moderado,Centro
774,True,20,Casa,12,Ineficiente,Centro
737,False,23,Casa,6,Moderado,Sur
684,False,21,Casa,5,Moderado,Sur
675,True,18,Casa,5,Moderado,Sur
336,False,8,Departamento,8,Ineficiente,Centro
314,False,6,Departamento,2,Moderado,Norte
544,False,14,Casa,8,Moderado,Centro
314,False,7,Departamento,9,Moderado,Centro
491,True,11,Casa,4,Ineficiente,Centro
588,True,14,Casa,4,Ineficiente,Centro
378,True,7,Departamento,5,Ineficiente,Sur
593,True,13,Casa,7,Ineficiente,Sur
291,False,6,Departamento,8,Ineficiente,Centro
434,True,9,Casa,2,Ineficiente,Centro
312,True,5,Departamento,5,Ineficiente,Centro
613,False,14,Casa,8,Ineficiente,Norte
451,False,13,Departamento,12,Ineficiente,Centro
585,True,16,Casa,3,Moderado,Norte
322,True,9,Departamento,2,Ineficiente,Centro
628,True,19,Casa,2,Ineficiente,Centro
705,True,20,Casa,11,Ineficiente,Centro
366,False,11,Departamento,7,Moderado,Centro
563,False,17,Casa,6,Moderado,Centro
396,True,8,Departamento,2,Moderado,Sur
335,False,5,Departamento,11,Ineficiente,Centro
693,True,21,Casa,4,Ineficiente,Centro
511,False,13,Departamento,12,Ineficiente,Centro
567,True,13,Casa,8,Ineficiente,Centro
484,False,13,Departamento,10,Moderado,Sur
695,True,20,Casa,10,Ineficiente,Centro
571,True,16,Casa,7,Ineficiente,Centro
253,True,4,Departamento,4,Ineficiente,Centro
291,True,4,Departamento,2,Moderado,Sur
685,False,21,Casa,4,Eficiente,Norte
403,True,7,Departamento,11,Ineficiente,Centro
511,False,16,Casa,3,Eficiente,Centro
611,False,15,Casa,12,Ineficiente,Centro
498,False,14,Casa,6,Moderado,Centro
603,False,15,Casa,9,Moderado,Centro
477,True,10,Casa,6,Ineficiente,Centro
696,True,22,Casa,2,Moderado,Sur
258,False,5,Departamento,4,Moderado,Centro
429,True,11,Departamento,6,Ineficiente,Centro
287,True,5,Departamento,8,Ineficiente,Centro
495,False,9,Casa,6,Moderado,Norte
736,True,21,Casa,11,Ineficiente,Centro
378,False,12,Departamento,6,Moderado,Centro
416,False,12,Departamento,8,Moderado,Centro
839,True,24,Casa,9,Ineficiente,Norte
417,False,11,Departamento,9,Ineficiente,Centro
365,True,7,Departamento,8,Ineficiente,Centro
308,True,7,Departamento,4,Moderado,Centro
344,False,5,Departamento,12,Ineficiente,Centro
299,False,7,Departamento,3,Eficiente,Norte
761,False,24,Casa,2,Eficiente,Sur
420,False,9,Departamento,7,Moderado,Sur
349,True,6,Departamento,10,Ineficiente,Centro
582,False,17,Casa,4,Eficiente,Norte
660,True,19,Casa,6,Ineficiente,Centro
763,True,17,Casa,10,Ineficiente,Sur
498,True,11,Departamento,10,Ineficiente,Centro
406,False,10,Departamento,8,Moderado,Norte
713,True,24,Casa,5,Ineficiente,Centro
791,False,23,Casa,12,Ineficiente,Sur
458,False,12,Casa,3,Eficiente,Centro
472,True,13,Departamento,3,Ineficiente,Centro
362,True,8,Departamento,5,Ineficiente,Centro
327,True,11,Departamento,2,Moderado,Centro
686,True,20,Casa,5,Moderado,Norte
598,False,15,Casa,12,Moderado,Centro
780,True,24,Casa,7,Moderado,Norte
472,False,11,Casa,7,Ineficiente,Centro
457,False,14,Departamento,8,Ineficiente,Centro
414,True,10,Departamento,6,Ineficiente,Centro
503,False,12,Departamento,10,Ineficiente,Norte
302,True,6,Departamento,3,Ineficiente,Centro
610,True,21,Casa,3,Moderado,Centro
398,True,10,Departamento,5,Moderado,Norte
475,True,13,Departamento,5,Moderado,Norte
356,True,6,Departamento,5,Ineficiente,Norte
593,False,16,Casa,2,Moderado,Sur
702,True,22,Casa,5,Ineficiente,Centro
525,False,14,Casa,6,Moderado,Centro
382,True,4,Departamento,10,Ineficiente,Norte
348,True,9,Departamento,4,Ineficiente,Centro
571,True,12,Casa,4,Ineficiente,Sur
422,False,9,Departamento,6,Moderado,Sur
436,True,9,Departamento,11,Ineficiente,Centro
602,True,13,Casa,7,Ineficiente,Norte
692,True,20,Casa,4,Ineficiente,Norte
304,False,6,Departamento,2,Moderado,Norte
745,True,22,Casa,11,Ineficiente,Centro
454,False,9,Departamento,9,Ineficiente,Norte
473,True,13,Casa,2,Moderado,Centro
263,False,8,Departamento,3,Moderado,Centro
695,True,18,Casa,4,Moderado,Sur
534,True,10,Casa,7,Ineficiente,Centro
373,True,8,Departamento,5,Ineficiente,Sur
574,False,19,Casa,5,Moderado,Centro
645,True,13,Casa,10,Ineficiente,Norte
576,False,13,Casa,7,Ineficiente,Centro
374,True,9,Departamento,3,Ineficiente,Centro
486,True,14,Departamento,8,Ineficiente,Centro
258,True,7,Departamento,4,Moderado,Centro
661,True,13,Casa,10,Ineficiente,Sur
725,False,24,Casa,7,Moderado,Centro
586,False,16,Casa,9,Moderado,Centro
478,False,12,Casa,2,Eficiente,Sur
558,True,13,Casa,3,Moderado,Norte
647,True,19,Casa,7,Ineficiente,Centro
618,False,18,Casa,4,Moderado,Centro
446,True,10,Departamento,2,Ineficiente,Sur
792,False,24,Casa,7,Moderado,Sur
667,True,16,Casa,6,Ineficiente,Sur
423,False,10,Departamento,10,Ineficiente,Norte
523,False,10,Casa,7,Moderado,Sur
410,False,11,Departamento,6,Moderado,Centro
280,True,5,Departamento,2,Moderado,Centro
412,True,11,Departamento,2,Moderado,Norte
664,True,14,Casa,12,Ineficiente,Centro
431,False,13,Departamento,2,Eficiente,Sur
707,False,19,Casa,8,Moderado,Sur
731,True,21,Casa,7,Ineficiente,Centro
531,True,9,Casa,6,Ineficiente,Norte
478,True,14,Departamento,5,Ineficiente,Centro
678,False,15,Casa,12,Ineficiente,Sur
562,True,10,Casa,12,Ineficiente,Centro
284,False,5,Departamento,9,Moderado,Centro
772,True,20,Casa,12,Ineficiente,Norte
600,True,16,Casa,9,Ineficiente,Centro
537,False,16,Casa,6,Moderado,Centro
629,True,16,Casa,5,Moderado,Sur
664,True,22,Casa,3,Moderado,Centro
740,True,20,Casa,8,Ineficiente,Centro
285,True,4,Departamento,6,Ineficiente,Centro
501,True,9,Casa,4,Ineficiente,Norte
809,True,21,Casa,10,Ineficiente,Sur
349,False,5,Departamento,10,Ineficiente,Centro
536,True,9,Casa,12,Ineficiente,Centro
382,False,8,Departamento,12,Ineficiente,Centro
527,False,11,Casa,11,Ineficiente,Centro
750,False,21,Casa,12,Ineficiente,Centro
665,False,18,Casa,9,Ineficiente,Centro
658,True,21,Casa,2,Moderado,Centro
665,True,19,Casa,4,Ineficiente,Centro
694,False,23,Casa,3,Moderado,Norte
534,True,13,Casa,5,Moderado,Centro
494,True,8,Casa,3,Moderado,Norte
743,True,19,Casa,12,Ineficiente,Centro
646,True,14,Casa,9,Ineficiente,Sur
623,True,15,Casa,2,Moderado,Sur
587,True,16,Casa,5,Ineficiente,Centro
370,True,9,Departamento,6,Ineficiente,Centro
826,False,24,Casa,11,Ineficiente,Norte
292,True,5,Departamento,5,Ineficiente,Centro
367,False,5,Departamento,9,Ineficiente,Sur
