region,tipo_inmueble,cantidad_equipos,horas_alto_consumo,uso_horario_pico,consumo_kwh,categoria
Norte,Casa,11,2,True,264,Moderado
Centro,Casa,24,2,False,272,Eficiente
Sur,Casa,9,2,True,215,Moderado
Sur,Casa,15,6,True,311,Moderado
Centro,Casa,20,5,False,269,Moderado
Centro,Departamento,12,2,True,179,Ineficiente
Centro,Departamento,8,2,True,140,Moderado
Centro,Casa,10,3,False,202,Eficiente
Centro,Departamento,6,6,True,145,Ineficiente
Centro,Departamento,4,5,True,124,Moderado
Centro,Casa,8,4,False,173,Eficiente
Centro,Departamento,5,6,True,168,Ineficiente
Centro,Casa,24,6,True,295,Ineficiente
Centro,Departamento,4,3,True,107,Eficiente
Sur,Departamento,13,5,True,224,Moderado
Norte,Casa,21,5,True,356,Ineficiente
Centro,Casa,9,2,False,178,Eficiente
Sur,Casa,14,2,True,252,Moderado
Centro,Casa,24,6,False,295,Eficiente
Centro,Departamento,7,3,False,139,Eficiente
Centro,Departamento,9,5,True,212,Ineficiente
Centro,Casa,9,3,True,172,Moderado
Centro,Casa,8,4,False,154,Eficiente
Centro,Casa,23,5,True,304,Ineficiente
Centro,Casa,14,2,True,226,Moderado
Norte,Casa,18,6,True,294,Moderado
Norte,Casa,22,3,True,311,Moderado
Sur,Departamento,11,2,True,252,Moderado
Centro,Casa,9,6,True,192,Moderado
Centro,Casa,21,2,True,285,Ineficiente
Norte,Casa,13,5,True,272,Moderado
Centro,Casa,16,3,True,222,Moderado
Sur,Departamento,8,4,False,204,Eficiente
Centro,Departamento,9,2,False,129,Eficiente
Norte,Casa,11,3,True,215,Moderado
Centro,Casa,16,5,True,292,Ineficiente
Centro,Casa,11,2,True,225,Moderado
Centro,Casa,19,5,True,272,Ineficiente
Centro,Casa,11,4,False,211,Moderado
Centro,Casa,21,4,False,274,Eficiente
Centro,Casa,14,6,False,197,Eficiente
Centro,Casa,20,6,False,241,Eficiente
Norte,Casa,15,6,True,286,Moderado
Centro,Departamento,12,5,False,133,Eficiente
Centro,Casa,19,6,False,283,Moderado
Sur,Casa,20,3,True,292,Moderado
Centro,Casa,21,5,True,315,Ineficiente
Centro,Departamento,5,5,True,173,Ineficiente
Centro,Casa,14,6,True,262,Moderado
Centro,Casa,22,6,False,210,Eficiente
Centro,Casa,13,5,False,238,Moderado
Centro,Casa,23,4,False,272,Eficiente
Centro,Casa,15,4,True,248,Moderado
Centro,Casa,23,6,False,276,Moderado
Norte,Casa,23,4,True,359,Ineficiente
Centro,Casa,10,3,True,213,Moderado
Centro,Casa,24,3,False,274,Eficiente
Norte,Casa,16,3,False,273,Moderado
Sur,Departamento,5,5,False,177,Eficiente
Centro,Casa,14,5,True,225,Moderado
Norte,Casa,19,5,False,284,Moderado
Centro,Casa,23,5,False,290,Moderado
Centro,Casa,24,5,True,288,Moderado
Centro,Casa,22,6,False,300,Moderado
Centro,Casa,8,4,True,200,Ineficiente
Norte,Casa,9,6,True,281,Ineficiente
Norte,Casa,15,4,False,273,Moderado
Centro,Casa,9,6,True,222,Ineficiente
Centro,Casa,16,3,True,250,Moderado
Centro,Casa,16,2,False,181,Eficiente
Norte,Casa,20,5,False,301,Moderado
Centro,Departamento,14,2,True,191,Ineficiente
Sur,Casa,22,2,False,294,Eficiente
Centro,Casa,22,3,True,294,Moderado
Centro,Casa,14,2,False,239,Eficiente
Norte,Departamento,5,2,False,152,Eficiente
Sur,Departamento,8,3,True,223,Moderado
Centro,Casa,13,4,True,215,Moderado
Sur,Casa,15,6,True,331,Ineficiente
Centro,Departamento,9,2,True,148,Moderado
Centro,Casa,23,5,True,325,Ineficiente
Sur,Casa,14,3,True,290,Moderado
Centro,Casa,17,2,True,251,Moderado
Centro,Casa,19,4,False,257,Eficiente
Centro,Departamento,8,4,True,128,Moderado
Centro,Departamento,10,5,True,181,Ineficiente
Sur,Casa,15,2,True,275,Moderado
Centro,Casa,14,5,False,266,Moderado
Centro,Casa,11,4,True,222,Ineficiente
Centro,Casa,10,4,False,175,Eficiente
Norte,Departamento,9,6,True,200,Ineficiente
Centro,Departamento,8,4,True,147,Ineficiente
Centro,Casa,16,3,True,223,Moderado
Centro,Casa,20,6,True,303,Ineficiente
Sur,Casa,23,5,True,351,Moderado
Centro,Casa,8,4,True,220,Moderado
Centro,Departamento,4,3,True,157,Moderado
Sur,Casa,15,6,False,312,Moderado
Centro,Casa,23,3,True,305,Moderado
Centro,Casa,18,6,True,294,Ineficiente
Centro,Casa,18,6,False,261,Moderado
Centro,Casa,10,6,True,178,Moderado
Centro,Casa,15,5,True,279,Ineficiente
Sur,Casa,17,6,False,299,Moderado
Centro,Casa,23,6,False,302,Ineficiente
Centro,Casa,12,3,True,213,Ineficiente
Centro,Casa,16,6,True,254,Ineficiente
Centro,Casa,15,5,True,253,Ineficiente
Centro,Casa,18,3,False,252,Eficiente
Centro,Casa,23,6,False,251,Eficiente
Centro,Casa,14,3,True,242,Ineficiente
Centro,Casa,22,5,False,312,Moderado
Norte,Departamento,7,3,False,141,Eficiente
Centro,Casa,13,5,True,201,Moderado
Centro,Casa,22,4,False,270,Moderado
Centro,Casa,15,6,True,265,Moderado
Centro,Casa,14,5,True,255,Ineficiente
Centro,Casa,9,6,False,196,Eficiente
Norte,Casa,20,5,True,348,Ineficiente
Centro,Departamento,8,2,True,153,Moderado
Centro,Casa,12,2,False,197,Eficiente
Centro,Departamento,7,2,False,107,Eficiente
Centro,Casa,22,5,False,297,Moderado
Centro,Casa,17,6,True,307,Ineficiente
Centro,Casa,10,2,True,192,Moderado
Centro,Casa,12,6,True,236,Ineficiente
Centro,Casa,20,5,True,243,Moderado
Centro,Casa,15,6,False,218,Eficiente
Norte,Casa,9,6,False,252,Moderado
Centro,Casa,16,2,True,241,Moderado
Centro,Casa,24,3,True,312,Moderado
Norte,Casa,20,4,False,265,Eficiente
Centro,Casa,8,5,False,189,Moderado
Sur,Departamento,13,5,True,237,Moderado
Centro,Departamento,5,5,True,153,Ineficiente
Centro,Departamento,5,4,True,142,Ineficiente
Sur,Casa,22,3,False,337,Eficiente
Centro,Casa,10,6,True,228,Ineficiente
Centro,Departamento,9,5,False,131,Eficiente
Centro,Casa,20,6,True,282,Ineficiente
Centro,Departamento,4,2,True,85,Moderado
Centro,Departamento,14,2,True,195,Moderado
Centro,Departamento,10,2,False,138,Eficiente
Centro,Casa,19,5,False,288,Moderado
Sur,Casa,17,4,False,255,Eficiente
Centro,Departamento,5,5,False,106,Eficiente
Norte,Casa,18,2,False,242,Eficiente
Centro,Casa,11,2,True,206,Moderado
Centro,Casa,13,5,False,190,Eficiente
Norte,Departamento,8,4,True,175,Moderado
Centro,Casa,17,4,True,264,Moderado
Centro,Casa,12,6,True,239,Moderado
Centro,Casa,20,3,True,305,Ineficiente
Centro,Casa,16,2,False,221,Eficiente
Centro,Departamento,10,4,True,173,Moderado
Centro,Casa,8,2,True,213,Moderado
Norte,Casa,19,3,False,267,Eficiente
Sur,Departamento,5,2,False,120,Eficiente
Centro,Casa,9,4,True,186,Moderado
Centro,Casa,16,6,True,245,Ineficiente
Centro,Casa,9,5,True,188,Moderado
Centro,Casa,21,5,False,311,Moderado
Centro,Casa,18,4,False,224,Eficiente
Centro,Departamento,12,4,True,188,Ineficiente
Norte,Departamento,11,3,False,173,Eficiente
Centro,Departamento,9,2,True,154,Moderado
Centro,Departamento,11,3,True,161,Moderado
Centro,Casa,14,5,True,257,Ineficiente
Centro,Casa,23,2,True,265,Moderado
Centro,Casa,8,3,False,149,Eficiente
Centro,Casa,20,5,True,312,Ineficiente
Sur,Casa,8,2,True,209,Moderado
Centro,Casa,18,6,True,306,Ineficiente
Sur,Departamento,13,6,True,273,Ineficiente
Centro,Casa,10,3,True,238,Ineficiente
Centro,Casa,19,4,True,294,Ineficiente
Centro,Casa,12,2,True,191,Moderado
Centro,Casa,16,3,True,221,Moderado
Centro,Casa,19,4,False,230,Eficiente
Sur,Casa,17,4,False,259,Eficiente
Norte,Casa,12,2,True,212,Eficiente
Norte,Casa,12,2,True,225,Eficiente
Centro,Casa,16,4,False,247,Moderado
Centro,Casa,24,5,True,331,Ineficiente
Centro,Casa,17,3,True,264,Moderado
Norte,Departamento,8,2,True,166,Moderado
Norte,Casa,23,4,False,299,Eficiente
Centro,Casa,22,5,True,310,Ineficiente
Norte,Casa,24,6,True,333,Moderado
Centro,Casa,20,4,True,304,Ineficiente
Centro,Casa,8,5,False,154,Eficiente
Centro,Casa,15,6,True,244,Moderado
Norte,Casa,12,5,True,235,Moderado
Centro,Casa,13,2,True,235,Moderado
Norte,Casa,21,4,True,287,Moderado
Centro,Casa,18,6,True,262,Ineficiente
Centro,Casa,13,5,True,249,Moderado
Centro,Casa,18,6,True,263,Moderado
Centro,Departamento,13,3,False,182,Moderado
Centro,Casa,19,4,True,294,Ineficiente
Centro,Casa,9,2,False,162,Eficiente
Centro,Casa,10,6,True,227,Moderado
Centro,Casa,11,5,False,243,Moderado
Centro,Casa,24,6,False,315,Moderado
Centro,Casa,13,5,True,250,Ineficiente
Sur,Casa,14,6,False,299,Moderado
Sur,Departamento,9,2,True,178,Moderado
Centro,Departamento,11,2,False,172,Moderado
Centro,Casa,10,4,True,222,Moderado
Centro,Casa,13,2,True,255,Ineficiente
Sur,Casa,9,6,True,247,Moderado
Norte,Casa,21,6,True,349,Ineficiente
Centro,Casa,16,2,False,187,Eficiente
Centro,Casa,19,3,True,265,Moderado
Centro,Casa,20,6,True,300,Ineficiente
Centro,Casa,19,4,False,266,Eficiente
Sur,Casa,19,3,False,246,Eficiente
Norte,Departamento,8,2,False,121,Eficiente
Centro,Casa,24,5,False,271,Eficiente
Norte,Casa,23,6,True,317,Ineficiente
Centro,Casa,24,5,True,302,Ineficiente
Centro,Casa,15,4,True,253,Moderado
Centro,Casa,18,3,False,270,Moderado
Centro,Casa,9,5,True,205,Ineficiente
Centro,Casa,15,4,True,280,Ineficiente
Norte,Casa,19,5,True,304,Ineficiente
Centro,Casa,8,5,True,201,Moderado
Sur,Casa,20,4,True,345,Moderado
Sur,Casa,24,6,True,359,Ineficiente
Centro,Departamento,10,5,True,164,Ineficiente
Centro,Casa,21,4,True,318,Ineficiente
Sur,Casa,23,5,False,325,Moderado
Norte,Casa,24,6,False,353,Moderado
Centro,Casa,13,4,True,228,Moderado
Sur,Casa,14,5,False,236,Eficiente
Norte,Casa,8,2,False,170,Eficiente
Centro,Casa,22,6,True,295,Ineficiente
Sur,Casa,20,5,False,303,Eficiente
Centro,Casa,9,3,False,162,Eficiente
Norte,Casa,22,4,True,293,Moderado
Centro,Casa,19,5,True,276,Ineficiente
Centro,Casa,22,6,True,310,Ineficiente
Centro,Casa,21,6,False,285,Moderado
Centro,Casa,13,3,True,230,Moderado
Sur,Departamento,4,3,False,170,Eficiente
Centro,Casa,13,5,True,242,Moderado
Centro,Casa,16,2,True,203,Moderado
Centro,Casa,11,6,True,237,Ineficiente
Centro,Casa,24,2,True,303,Moderado
Centro,Casa,9,2,False,187,Eficiente
Sur,Casa,23,5,False,303,Eficiente
Centro,Departamento,4,4,True,154,Ineficiente
Centro,Casa,15,4,True,255,Moderado
Centro,Casa,21,4,False,269,Eficiente
Centro,Casa,9,3,False,196,Moderado
Centro,Casa,23,6,False,314,Moderado
Centro,Casa,11,3,True,238,Moderado
Centro,Departamento,4,6,False,71,Eficiente
Sur,Casa,21,6,False,288,Moderado
Centro,Departamento,9,6,True,169,Ineficiente
Centro,Departamento,8,5,True,142,Moderado
Centro,Casa,12,4,True,215,Moderado
Centro,Casa,13,3,False,204,Eficiente
Centro,Casa,15,3,True,235,Moderado
Centro,Casa,13,5,True,240,Ineficiente
Centro,Casa,13,6,True,273,Ineficiente
Centro,Casa,11,4,True,257,Ineficiente
Centro,Casa,14,2,True,240,Moderado
Centro,Casa,14,2,False,234,Moderado
Centro,Departamento,9,5,True,165,Ineficiente
Centro,Casa,15,4,True,237,Moderado
Centro,Departamento,7,2,True,142,Eficiente
Centro,Casa,8,2,True,184,Moderado
Centro,Casa,21,3,True,300,Ineficiente
Centro,Casa,13,4,True,236,Ineficiente
Centro,Casa,17,2,True,284,Moderado
Norte,Departamento,6,3,False,139,Eficiente
Centro,Casa,11,4,True,207,Moderado
Centro,Departamento,12,6,False,164,Moderado
Centro,Casa,23,4,True,294,Moderado
Sur,Casa,8,5,True,260,Moderado
Centro,Casa,13,3,False,203,Eficiente
Centro,Departamento,4,6,True,145,Ineficiente
Norte,Departamento,6,3,False,145,Eficiente
Centro,Casa,19,3,True,283,Moderado
Centro,Casa,10,2,True,226,Moderado
Centro,Casa,18,4,True,277,Ineficiente
Centro,Casa,22,3,False,249,Moderado
Centro,Departamento,7,3,False,114,Eficiente
Norte,Departamento,11,5,True,197,Moderado
Centro,Casa,9,5,True,198,Moderado
Centro,Casa,11,5,True,247,Ineficiente
Centro,Casa,19,3,False,245,Eficiente
Centro,Casa,9,6,True,221,Ineficiente
Sur,Departamento,14,4,True,249,Moderado
Sur,Casa,10,3,True,254,Moderado
Centro,Departamento,10,2,False,146,Eficiente
Centro,Casa,23,6,True,364,Ineficiente
Centro,Departamento,12,6,False,187,Moderado
Sur,Casa,18,4,False,267,Eficiente
Centro,Casa,22,6,True,315,Ineficiente
Centro,Departamento,5,4,True,142,Ineficiente
Centro,Casa,23,6,True,288,Moderado
Centro,Casa,19,4,True,230,Moderado
Centro,Departamento,9,5,True,175,Ineficiente
Centro,Departamento,7,5,False,128,Moderado
Norte,Casa,16,6,False,239,Eficiente
Norte,Casa,15,6,False,244,Eficiente
Centro,Casa,19,4,False,247,Moderado
Centro,Casa,9,4,True,196,Moderado
Centro,Casa,17,3,True,264,Moderado
Centro,Casa,16,5,True,265,Ineficiente
Centro,Casa,15,3,True,260,Moderado
Centro,Casa,8,3,True,219,Moderado
Centro,Casa,13,2,True,238,Moderado
Sur,Casa,19,4,False,279,Eficiente
Centro,Casa,24,2,False,281,Eficiente
Centro,Casa,9,2,False,140,Eficiente
Centro,Casa,18,3,True,256,Moderado
Sur,Casa,18,2,False,225,Eficiente
Centro,Departamento,10,4,True,167,Ineficiente
Centro,Casa,22,3,True,283,Moderado
Centro,Casa,16,4,True,270,Moderado
Centro,Casa,22,6,True,289,Moderado
Norte,Casa,14,2,False,231,Eficiente
Centro,Casa,20,3,True,272,Moderado
Norte,Casa,20,5,True,301,Moderado
Centro,Casa,8,4,True,185,Moderado
Centro,Casa,11,2,False,193,Eficiente
Centro,Casa,11,4,True,218,Moderado
Centro,Departamento,14,4,False,158,Eficiente
Norte,Casa,20,6,False,292,Moderado
Centro,Casa,9,4,False,189,Eficiente
Centro,Casa,22,6,True,339,Ineficiente
Centro,Departamento,14,6,True,201,Ineficiente
Norte,Casa,13,6,True,258,Ineficiente
Sur,Casa,10,2,False,194,Eficiente
Norte,Departamento,13,4,False,182,Eficiente
Centro,Departamento,6,4,True,125,Moderado
Centro,Departamento,9,6,True,200,Ineficiente
Centro,Casa,11,4,True,232,Moderado
Centro,Casa,17,4,False,217,Eficiente
Norte,Casa,16,6,True,267,Moderado
Centro,Casa,13,5,False,204,Eficiente
Centro,Casa,18,5,False,276,Moderado
Centro,Casa,14,6,True,240,Ineficiente
Centro,Departamento,10,2,True,161,Moderado
Centro,Casa,12,4,False,234,Moderado
Centro,Casa,11,4,True,230,Moderado
Centro,Casa,11,5,True,198,Moderado
Centro,Casa,20,6,True,258,Moderado
Sur,Casa,23,2,True,337,Moderado
Sur,Casa,21,6,False,363,Moderado
Centro,Casa,18,5,True,303,Ineficiente
Centro,Casa,9,5,True,220,Ineficiente
Norte,Casa,21,4,False,302,Moderado
Centro,Casa,14,3,True,255,Ineficiente
Centro,Departamento,7,2,True,111,Moderado
Centro,Casa,11,2,False,191,Eficiente
Centro,Casa,14,3,False,239,Moderado
Centro,Departamento,7,5,True,200,Ineficiente
Centro,Casa,13,6,True,256,Ineficiente
Centro,Departamento,6,2,False,84,Eficiente
Centro,Casa,9,3,True,214,Moderado
Centro,Departamento,5,4,True,151,Ineficiente
Norte,Casa,14,4,True,280,Moderado
Centro,Departamento,13,5,True,209,Ineficiente
Norte,Casa,16,2,False,279,Eficiente
Centro,Departamento,9,6,True,181,Ineficiente
Centro,Casa,19,2,False,244,Eficiente
Centro,Casa,20,4,True,279,Moderado
Centro,Departamento,11,2,True,173,Moderado
Centro,Casa,17,4,False,244,Moderado
Centro,Casa,17,3,True,261,Moderado
Centro,Casa,9,3,True,218,Moderado
Centro,Casa,21,4,True,250,Moderado
Centro,Casa,20,6,True,292,Ineficiente
Centro,Casa,13,6,True,256,Ineficiente
Sur,Departamento,13,2,True,231,Moderado
Centro,Casa,20,4,False,234,Eficiente
Centro,Casa,16,5,True,272,Ineficiente
Centro,Departamento,4,6,False,118,Moderado
Sur,Departamento,4,6,True,198,Ineficiente
Centro,Casa,21,3,True,298,Moderado
Centro,Casa,12,6,True,245,Ineficiente
Centro,Casa,16,6,True,267,Ineficiente
Centro,Casa,15,6,True,265,Ineficiente
Centro,Casa,14,4,True,248,Ineficiente
Centro,Casa,15,4,False,251,Eficiente
Centro,Casa,10,3,True,269,Ineficiente
Centro,Casa,22,2,True,267,Moderado
Centro,Departamento,5,6,True,96,Eficiente
Centro,Departamento,11,2,False,136,Eficiente
Centro,Casa,14,4,True,224,Ineficiente
Norte,Casa,9,6,True,254,Ineficiente
Centro,Casa,21,2,True,311,Ineficiente
Centro,Departamento,12,2,True,195,Moderado
Centro,Casa,21,5,True,290,Ineficiente
Centro,Casa,24,4,True,327,Ineficiente
Centro,Departamento,11,3,True,201,Ineficiente
Centro,Departamento,7,3,True,162,Ineficiente
Centro,Departamento,7,5,False,145,Moderado
Centro,Casa,18,2,True,258,Moderado
Norte,Casa,12,5,True,229,Moderado
Sur,Casa,24,5,True,379,Ineficiente
Centro,Departamento,9,4,True,201,Ineficiente
Centro,Departamento,6,6,True,129,Moderado
Norte,Casa,17,2,True,289,Ineficiente
Centro,Casa,19,3,True,256,Ineficiente
Centro,Casa,17,3,True,268,Moderado
Centro,Departamento,11,5,False,134,Eficiente
Norte,Departamento,10,5,True,215,Moderado
Centro,Casa,24,5,True,326,Ineficiente
Centro,Casa,23,2,True,312,Ineficiente
Centro,Casa,12,5,True,246,Ineficiente
Centro,Departamento,13,5,True,204,Ineficiente
Centro,Departamento,8,6,True,186,Ineficiente
Centro,Departamento,11,2,True,163,Moderado
Norte,Casa,20,4,True,316,Moderado
Centro,Casa,15,4,True,238,Moderado
Norte,Casa,24,6,False,330,Moderado
Centro,Casa,11,3,True,213,Moderado
Centro,Departamento,14,4,True,212,Ineficiente
Centro,Departamento,10,2,True,159,Moderado
Norte,Departamento,12,3,True,198,Moderado
Centro,Departamento,6,5,True,147,Ineficiente
Centro,Casa,21,2,True,255,Moderado
Centro,Casa,23,3,True,318,Ineficiente
Norte,Departamento,13,4,True,216,Ineficiente
Norte,Departamento,6,5,True,146,Moderado
Centro,Casa,16,5,True,251,Ineficiente
Centro,Casa,22,2,False,252,Eficiente
Centro,Casa,14,5,False,230,Eficiente
Norte,Departamento,4,3,True,143,Moderado
Centro,Casa,8,6,True,229,Ineficiente
Centro,Casa,12,4,False,180,Eficiente
Centro,Casa,16,2,True,255,Moderado
Centro,Casa,19,6,False,270,Moderado
Norte,Casa,13,6,True,257,Moderado
Norte,Casa,20,2,True,300,Ineficiente
Norte,Casa,15,3,True,264,Moderado
Centro,Casa,22,4,True,323,Ineficiente
Norte,Casa,13,2,True,247,Moderado
Centro,Casa,13,6,True,268,Ineficiente
Centro,Departamento,8,6,True,187,Ineficiente
Sur,Casa,18,2,True,276,Eficiente
Centro,Casa,10,6,True,223,Ineficiente
Centro,Departamento,8,2,False,142,Eficiente
Centro,Casa,19,2,True,272,Moderado
Norte,Casa,13,4,True,257,Moderado
Centro,Casa,13,2,False,203,Eficiente
Centro,Casa,15,6,False,247,Moderado
Centro,Casa,22,5,True,296,Ineficiente
Centro,Casa,23,4,True,300,Moderado
Sur,Casa,13,6,True,302,Ineficiente
Centro,Casa,24,6,True,327,Ineficiente
Centro,Casa,16,4,False,228,Eficiente
Sur,Casa,12,4,False,244,Eficiente
Norte,Casa,13,6,True,276,Ineficiente
Centro,Casa,19,5,False,257,Eficiente
Centro,Casa,18,3,True,269,Moderado
Centro,Departamento,10,6,False,125,Moderado
Sur,Casa,24,4,False,332,Eficiente
Sur,Casa,16,2,True,284,Moderado
Norte,Casa,8,2,True,229,Moderado
Centro,Casa,10,4,True,213,Ineficiente
Centro,Casa,16,4,False,261,Eficiente
Centro,Departamento,5,3,False,122,Moderado
Norte,Departamento,11,4,True,187,Ineficiente
Centro,Casa,14,2,True,208,Eficiente
Sur,Departamento,13,5,True,239,Moderado
Sur,Casa,19,4,False,293,Eficiente
Centro,Casa,21,3,True,253,Moderado
Norte,Casa,9,5,True,231,Moderado
Centro,Departamento,14,3,True,191,Moderado
Centro,Casa,15,5,False,234,Moderado
Centro,Casa,10,4,False,230,Moderado
Centro,Casa,13,2,True,192,Moderado
Norte,Casa,20,5,True,328,Ineficiente
Centro,Casa,16,6,False,251,Ineficiente
Centro,Casa,16,3,False,217,Eficiente
Sur,Casa,16,5,True,302,Ineficiente
Centro,Casa,22,3,True,312,Moderado
Centro,Casa,20,2,True,277,Moderado
Centro,Casa,23,3,True,262,Moderado
Norte,Casa,9,3,True,230,Moderado
Sur,Casa,21,6,True,356,Ineficiente
Centro,Departamento,5,3,True,126,Moderado
Centro,Casa,9,5,True,230,Ineficiente
Centro,Casa,15,3,True,263,Moderado
Centro,Casa,11,4,True,248,Ineficiente
Centro,Casa,21,3,True,307,Ineficiente
Centro,Casa,18,4,True,321,Ineficiente
Centro,Casa,21,3,True,310,Ineficiente
Centro,Casa,19,3,False,251,Moderado
Norte,Casa,23,5,True,347,Ineficiente
Centro,Casa,13,4,True,238,Moderado
Norte,Casa,8,4,True,216,Moderado
Centro,Casa,19,6,False,242,Moderado
Centro,Casa,14,3,True,235,Moderado
Centro,Casa,15,3,True,262,Moderado
Centro,Casa,16,5,True,245,Moderado
Centro,Casa,9,6,True,226,Ineficiente
Norte,Casa,24,6,False,311,Moderado
Centro,Casa,20,5,True,291,Ineficiente
Centro,Casa,12,4,False,203,Eficiente
Centro,Casa,17,2,True,258,Moderado
Centro,Departamento,6,5,False,173,Ineficiente
Centro,Departamento,6,4,True,137,Moderado
Centro,Casa,13,6,False,221,Moderado
Centro,Casa,10,5,True,216,Moderado
Centro,Departamento,5,2,True,101,Moderado
Centro,Casa,14,3,True,256,Moderado
Norte,Casa,13,5,False,220,Moderado
Sur,Casa,11,2,True,280,Moderado
Centro,Casa,12,2,True,204,Moderado
Centro,Casa,10,5,True,228,Moderado
Norte,Casa,16,4,False,287,Moderado
Centro,Casa,13,5,True,251,Moderado
Centro,Casa,20,6,True,284,Ineficiente
Centro,Casa,11,2,False,170,Eficiente
Centro,Casa,9,2,False,130,Eficiente
Norte,Casa,11,3,True,230,Moderado
